"","uniqueID","mark","family","family.count_200bp","subfamily","node","subfamily.count_200bp","intersect.count","intersect.count_200bp","subfamily.color","pvalue","mean.value","sd.value","log2FC","perC"
"1","E003-DNase LTR5 LTR5_g0","E003-DNase","LTR5",5,"LTR5_g0","-",5,0,0,"-",2,0.63,0.824559876478955,-0.704871964456353,0
"2","E003-DNase LTR5_Hs LTR5_Hs_g1","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g1","Node16/100",258,24,24,"#D5A263",1.9,31.21,4.78696673322998,-0.365580565833365,0.0930232558139535
"3","E003-DNase LTR5_Hs LTR5_Hs_g10","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g10","Node199/96",15,9,9,"#C6DDA4",0,1.64,1.1238462096881,1.92139016530363,0.6
"4","E003-DNase LTR5_Hs LTR5_Hs_g11","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g11","Node122/99",10,3,3,"#DA605C",0.2,1.08,1.05102162900982,0.943416471633632,0.3
"5","E003-DNase LTR5_Hs LTR5_Hs_g12","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g12","Node7/99",10,4,4,"#DCA4C6",0.04,1.29,0.997927144564465,1.12658049656514,0.4
"6","E003-DNase LTR5_Hs LTR5_Hs_g2","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g2","Node14/100",60,9,9,"#6ADC97",0.44,6.67,2.55071786290872,0.382701517159154,0.15
"7","E003-DNase LTR5_Hs LTR5_Hs_g3","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g3","Node15/96",53,7,7,"#DB6BC6",1.2,7.06,2.43634102205697,-0.0107798387532425,0.132075471698113
"8","E003-DNase LTR5_Hs LTR5_Hs_g4","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g4","Node163/97",39,14,14,"#7FDED9",0,3.94,1.99909070238537,1.60237955379857,0.358974358974359
"9","E003-DNase LTR5_Hs LTR5_Hs_g5","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g5","Node173/96",36,4,4,"#88AACF",1.28,4.27,1.9584316545273,-0.0758748669751275,0.111111111111111
"10","E003-DNase LTR5_Hs LTR5_Hs_g6","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g6","Node174/98",29,4,4,"#B745E2",0.8,3.27,1.65055852193839,0.227692025041597,0.137931034482759
"11","E003-DNase LTR5_Hs LTR5_Hs_g7","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g7","Node10/99",26,11,11,"#7BE94E",0,2.93,1.51927015970887,1.61043318823727,0.423076923076923
"12","E003-DNase LTR5_Hs LTR5_Hs_g8","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g8","Node5/99",24,16,16,"#D6D4CD",0,1.98,1.28691942877618,2.5121505105629,0.666666666666667
"13","E003-DNase LTR5_Hs LTR5_Hs_g9","E003-DNase","LTR5_Hs",604,"LTR5_Hs_g9","Node12/96",23,11,11,"#D4DF64",0,2.42,1.3117957466039,1.81096617560998,0.478260869565217
"14","E003-DNase LTR5_Hs LTR5_Hs_U","E003-DNase","LTR5_Hs",604,"LTR5_Hs_U","Ungrouped",21,6,6,"black",0.1,2.38,1.5749298525344,1.05033167555014,0.285714285714286
"15","E003-DNase LTR5A LTR5A_g1","E003-DNase","LTR5A",253,"LTR5A_g1","Node1/",148,0,0,"#D1CECB",2,15.36,3.54058717951664,-4.03210084316702,0
"16","E003-DNase LTR5A LTR5A_g2","E003-DNase","LTR5A",253,"LTR5A_g2","Node34/99",35,0,0,"#DC7E79",2,4.13,1.92618846954342,-2.35895882583233,0
"17","E003-DNase LTR5A LTR5A_g3","E003-DNase","LTR5A",253,"LTR5A_g3","Node9/100",20,0,0,"#84DCCB",2,3.75,1.82228073323159,-2.24792751344359,0
"18","E003-DNase LTR5A LTR5A_g4","E003-DNase","LTR5A",253,"LTR5A_g4","Node48/99",14,0,0,"#D5D077",2,1.42,1.15627405789877,-1.27500704749987,0
"19","E003-DNase LTR5A LTR5A_g5","E003-DNase","LTR5A",253,"LTR5A_g5","Node3/97",13,0,0,"#A79BD5",2,1.68,1.18815704842297,-1.42223300068305,0
"20","E003-DNase LTR5A LTR5A_g6","E003-DNase","LTR5A",253,"LTR5A_g6","Node61/100",10,0,0,"#BE5AD6",2,1.12,0.86783138519606,-1.08406426478847,0
"21","E003-DNase LTR5A LTR5A_U","E003-DNase","LTR5A",253,"LTR5A_U","Ungrouped",13,0,0,"black",2,1.99,1.38895353384911,-1.58014548442338,0
"22","E003-DNase LTR5B LTR5B_g1","E003-DNase","LTR5B",375,"LTR5B_g1","Node1/",68,1,1,"#D87DC9",2,7.93,2.51562792129199,-2.1586601753465,0.0147058823529412
"23","E003-DNase LTR5B LTR5B_g10","E003-DNase","LTR5B",375,"LTR5B_g10","Node89/100",15,0,0,"#8494D8",2,1.94,1.20453687818559,-1.55581615506164,0
"24","E003-DNase LTR5B LTR5B_g2","E003-DNase","LTR5B",375,"LTR5B_g2","Node54/100",55,2,2,"#D5A162",1.94,6.46,2.43052972569248,-1.31421312975936,0.0363636363636364
"25","E003-DNase LTR5B LTR5B_g3","E003-DNase","LTR5B",375,"LTR5B_g3","Node11/96",42,1,1,"#81E557",1.96,4.42,1.81564469447237,-1.43829285157915,0.0238095238095238
"26","E003-DNase LTR5B LTR5B_g4","E003-DNase","LTR5B",375,"LTR5B_g4","Node97/99",31,9,9,"#CEDCB2",0.08,5.23,1.89019265759559,0.682695931638085,0.290322580645161
"27","E003-DNase LTR5B LTR5B_g5","E003-DNase","LTR5B",375,"LTR5B_g5","Node63/97",30,0,0,"#D8DF6A",2,2.78,1.38957154940258,-1.91838623444635,0
"28","E003-DNase LTR5B LTR5B_g6","E003-DNase","LTR5B",375,"LTR5B_g6","Node98/98",30,9,9,"#D4BCCD",0.02,4.12,1.59721980676146,0.965784284662087,0.3
"29","E003-DNase LTR5B LTR5B_g7","E003-DNase","LTR5B",375,"LTR5B_g7","Node111/99",21,3,3,"#DC6B6D",1.08,2.77,1.3769751653754,0.0854354765060606,0.142857142857143
"30","E003-DNase LTR5B LTR5B_g8","E003-DNase","LTR5B",375,"LTR5B_g8","Node57/100",21,0,0,"#74E0A9",2,2.89,1.50349760575302,-1.95977015521147,0
"31","E003-DNase LTR5B LTR5B_g9","E003-DNase","LTR5B",375,"LTR5B_g9","Node50/98",20,4,4,"#B150DC",0.24,2.15,1.17529278535739,0.666576266274808,0.2
"32","E003-DNase LTR5B LTR5B_U","E003-DNase","LTR5B",375,"LTR5B_U","Ungrouped",42,1,1,"black",2,4.2,2.00504414420282,-1.37851162325373,0.0238095238095238
"33","E003-H2A.Z LTR5 LTR5_g0","E003-H2A.Z","LTR5",5,"LTR5_g0","-",5,0,0,"-",2,0.45,0.641573192719398,-0.53605290024021,0
"34","E003-H2A.Z LTR5_Hs LTR5_Hs_g1","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g1","Node16/100",258,18,18,"#D5A263",2,28.34,4.18322769394566,-0.62686945245508,0.0697674418604651
"35","E003-H2A.Z LTR5_Hs LTR5_Hs_g10","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g10","Node199/96",15,3,3,"#C6DDA4",0.22,1.29,1.01796985528189,0.804652401677781,0.2
"36","E003-H2A.Z LTR5_Hs LTR5_Hs_g11","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g11","Node122/99",10,2,2,"#DA605C",0.36,0.86,0.943023292020366,0.68965987938785,0.2
"37","E003-H2A.Z LTR5_Hs LTR5_Hs_g12","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g12","Node7/99",10,1,1,"#DCA4C6",1.34,0.9,0.822658906696862,0.0740005814437768,0.1
"38","E003-H2A.Z LTR5_Hs LTR5_Hs_g2","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g2","Node14/100",60,7,7,"#6ADC97",0.98,6.48,2.13428009294739,0.0969617298870878,0.116666666666667
"39","E003-H2A.Z LTR5_Hs LTR5_Hs_g3","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g3","Node15/96",53,4,4,"#DB6BC6",1.72,5.98,2.33541033099998,-0.481298941547565,0.0754716981132075
"40","E003-H2A.Z LTR5_Hs LTR5_Hs_g4","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g4","Node163/97",39,13,13,"#7FDED9",0,3.03,1.4456832294801,1.79657508330436,0.333333333333333
"41","E003-H2A.Z LTR5_Hs LTR5_Hs_g5","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g5","Node173/96",36,3,3,"#88AACF",1.64,4.07,1.83267205704863,-0.341985747228616,0.0833333333333333
"42","E003-H2A.Z LTR5_Hs LTR5_Hs_g6","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g6","Node174/98",29,2,2,"#B745E2",1.56,2.71,1.49270955586873,-0.306456686124922,0.0689655172413793
"43","E003-H2A.Z LTR5_Hs LTR5_Hs_g7","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g7","Node10/99",26,5,5,"#7BE94E",0.28,2.77,1.61342223646859,0.670397977227217,0.192307692307692
"44","E003-H2A.Z LTR5_Hs LTR5_Hs_g8","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g8","Node5/99",24,9,9,"#D6D4CD",0,2,1.33333333333333,1.73696559416621,0.375
"45","E003-H2A.Z LTR5_Hs LTR5_Hs_g9","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_g9","Node12/96",23,5,5,"#D4DF64",0.04,1.78,1.29941711874396,1.10987761777237,0.217391304347826
"46","E003-H2A.Z LTR5_Hs LTR5_Hs_U","E003-H2A.Z","LTR5_Hs",604,"LTR5_Hs_U","Ungrouped",21,5,5,"black",0.14,1.92,1.37569082737556,1.03899413161586,0.238095238095238
"47","E003-H2A.Z LTR5A LTR5A_g1","E003-H2A.Z","LTR5A",253,"LTR5A_g1","Node1/",148,6,6,"#D1CECB",2,13.42,2.8786220047906,-1.04264433740849,0.0405405405405405
"48","E003-H2A.Z LTR5A LTR5A_g2","E003-H2A.Z","LTR5A",253,"LTR5A_g2","Node34/99",35,1,1,"#DC7E79",2,4.73,2.05409175289054,-1.51853513898218,0.0285714285714286
"49","E003-H2A.Z LTR5A LTR5A_g3","E003-H2A.Z","LTR5A",253,"LTR5A_g3","Node9/100",20,0,0,"#84DCCB",2,2.81,1.5088627063675,-1.9297909977186,0
"50","E003-H2A.Z LTR5A LTR5A_g4","E003-H2A.Z","LTR5A",253,"LTR5A_g4","Node48/99",14,0,0,"#D5D077",2,1.3,1.05887304300946,-1.20163386116965,0
"51","E003-H2A.Z LTR5A LTR5A_g5","E003-H2A.Z","LTR5A",253,"LTR5A_g5","Node3/97",13,1,1,"#A79BD5",1.74,1.71,1.05691565750097,-0.438292851579147,0.0769230769230769
"52","E003-H2A.Z LTR5A LTR5A_g6","E003-H2A.Z","LTR5A",253,"LTR5A_g6","Node61/100",10,0,0,"#BE5AD6",2,1.14,1.07327498429768,-1.09761079662642,0
"53","E003-H2A.Z LTR5A LTR5A_U","E003-H2A.Z","LTR5A",253,"LTR5A_U","Ungrouped",13,0,0,"black",2,1.88,1.28927197372091,-1.52606881166759,0
"54","E003-H2A.Z LTR5B LTR5B_g1","E003-H2A.Z","LTR5B",375,"LTR5B_g1","Node1/",68,12,12,"#D87DC9",0.06,5.7,2.29404146924729,0.956278622570682,0.176470588235294
"55","E003-H2A.Z LTR5B LTR5B_g10","E003-H2A.Z","LTR5B",375,"LTR5B_g10","Node89/100",15,3,3,"#8494D8",0.38,1.65,1.24214704963997,0.594007640324163,0.2
"56","E003-H2A.Z LTR5B LTR5B_g2","E003-H2A.Z","LTR5B",375,"LTR5B_g2","Node54/100",55,2,2,"#D5A162",1.94,4.85,1.89829801494269,-0.963474123974886,0.0363636363636364
"57","E003-H2A.Z LTR5B LTR5B_g3","E003-H2A.Z","LTR5B",375,"LTR5B_g3","Node11/96",42,9,9,"#81E557",0.02,3.76,2.12783382050309,1.07096652135414,0.214285714285714
"58","E003-H2A.Z LTR5B LTR5B_g4","E003-H2A.Z","LTR5B",375,"LTR5B_g4","Node97/99",31,6,6,"#CEDCB2",0.4,3.8,1.9436506316151,0.54432051622381,0.193548387096774
"59","E003-H2A.Z LTR5B LTR5B_g5","E003-H2A.Z","LTR5B",375,"LTR5B_g5","Node63/97",30,4,4,"#D8DF6A",0.46,2.75,1.59148618681668,0.415037499278844,0.133333333333333
"60","E003-H2A.Z LTR5B LTR5B_g6","E003-H2A.Z","LTR5B",375,"LTR5B_g6","Node98/98",30,7,7,"#D4BCCD",0.1,3.71,1.76552278576933,0.764272940161942,0.233333333333333
"61","E003-H2A.Z LTR5B LTR5B_g7","E003-H2A.Z","LTR5B",375,"LTR5B_g7","Node111/99",21,4,4,"#DC6B6D",0.28,2.23,1.18794449416297,0.630393929968162,0.19047619047619
"62","E003-H2A.Z LTR5B LTR5B_g8","E003-H2A.Z","LTR5B",375,"LTR5B_g8","Node57/100",21,3,3,"#74E0A9",0.64,1.92,1.34600043525891,0.454031630894707,0.142857142857143
"63","E003-H2A.Z LTR5B LTR5B_g9","E003-H2A.Z","LTR5B",375,"LTR5B_g9","Node50/98",20,1,1,"#B150DC",1.84,2.19,1.25283516856607,-0.673556423990145,0.05
"64","E003-H2A.Z LTR5B LTR5B_U","E003-H2A.Z","LTR5B",375,"LTR5B_U","Ungrouped",42,3,3,"black",1.52,3.92,1.88925724275254,-0.298658315564515,0.0714285714285714
"65","E003-H2BK120ac LTR5 LTR5_g0","E003-H2BK120ac","LTR5",5,"LTR5_g0","-",5,0,0,"-",2,0.12,0.326598632371091,-0.16349873228288,0
"66","E003-H2BK120ac LTR5_Hs LTR5_Hs_g1","E003-H2BK120ac","LTR5_Hs",604,"LTR5_Hs_g1","Node16/100",258,2,2,"#D5A263",1.98,7.56,2.66029541915399,-1.51264829590527,0.00775193798449612
