name	dna_count	rna_count	ratio	log2	n_obs_bc
hg19_MER34_F1_224bp_97_320.frameSeq_chr16:82194486_82194668	0.3177195156876924	0.1790041402136258	0.5634030375067701	-0.8277607530699023	77.0
hg19_MER11C_F1_236bp_347_582.frameSeq_chr17:62507458_62507693	0.4484653066973897	0.45446982433983835	1.013389034899193	0.01918812376770371	10.0
panTro4_MER11B_F2_255bp_602_856.frameSeq_chrX:100170612_100170846	0.3610156104863656	0.8495318285045346	2.353172006495876	1.2346067790615467	135.0
macFas5_MER34A_F1_253bp_97_349.frameSeq_chr3:173522007_173522274	0.23306071056714742	0.11287485833277032	0.48431525870702175	-1.04598163806765	16.0
panTro4_MER34D_F1_253bp_97_349.frameSeq_chr5:96091117_96091374	0.17479553292536057	0.13886577965939506	0.7944469594580094	-0.3319771923447551	1.0
hg19_MER34A_F1_253bp_97_349.frameSeq_chr18:26047052_26047297	0.26543025370147344	0.16411410323383052	0.6182946402877191	-0.6936335952955752	17.0
panTro4_MER52C_F2_238bp_356_593.frameSeq_chr6:16530852_16531088	0.2612260819637084	0.15843071565631817	0.6064888868115728	-0.7214468849722839	250.0
panTro4_MER11A_F1_260bp_371_630.frameSeq_chr11:39507031_39507234	0.2244288323979938	0.15429531073266117	0.6875021764540465	-0.5405638141561726	26.0
macFas5_MER34A_F1_253bp_97_349.frameSeq_chr4:28471790_28472001	0.22946409466333342	0.2679127668176208	1.167558555122529	0.22349490545229547	53.0
macFas5_MER52D_F2_230bp_553_782.frameSeq_chr16:17624062_17624277	0.27152146822231704	0.8303962184468886	3.0583077790628868	1.6127336025731343	405.0
panTro4_MER11C_F1_236bp_347_582.frameSeq_chr4:4101381_4101615	0.19205928926366778	0.2503792087798184	1.303655812430329	0.3825630235229621	35.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chrX:108426939_108427188	0.17210637088035502	2.033461137110302	11.815141570348517	3.562565010836118	64.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr4:4107117_4107357	0.5111798251772767	1.2341380563184055	2.4142933573139502	1.2716009865437479	24.0
panTro4_MER11A_F1_260bp_371_630.frameSeq_chr6:33571457_33571650	0.27853597116561524	0.11330954969990552	0.406804008924695	-1.2975941983190915	40.0
hg19_MER11C_F1_236bp_347_582.frameSeq_chr3:161461465_161461697	0.28549937044475554	0.18305034591465713	0.641158492326965	-0.6412470643611696	39.0
panTro4_MER11C_F1_236bp_347_582.frameSeq_chr19:32770253_32770489_shuffled_0	0.15321583750247655	0.07995302465237898	0.5218326379026361	-0.9383409148796803	17.0
hg19_MER34B_F1_257bp_82_338.frameSeq_chr15:51949851_51950036	0.4453124291193709	0.20288831443742786	0.45560891897549394	-1.134132105445006	27.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr5:95683213_95683457	0.5113210740927719	0.701903395369306	1.3727253401684665	0.4570429947378595	54.0
panTro4_MER11B_F2_255bp_602_856.frameSeq_chr7:8852317_8852545	0.4447893615605259	0.7001235955107802	1.5740565220679383	0.654487346844785	121.0
panTro4_MER11B_F2_255bp_602_856.frameSeq_chrY:4092427_4092633	0.40207288511917505	2.19278884874686	5.453709836953849	2.4472379441248804	224.0
macFas5_MER34A_F1_253bp_97_349.frameSeq_chr15:73157175_73157439	0.6045012180335385	0.37556881316972757	0.6212871073965156	-0.6866679782998772	15.0
panTro4_MER34D_F1_253bp_97_349.frameSeq_chr12:42135843_42136074	0.21939357013265418	0.15476287228033592	0.7054120692177079	-0.5034618351827707	53.0
macFas5_MER11A_F2_260bp_769_1028.frameSeq_chr13:24130976_24131234	0.2660187908493703	0.141543632159714	0.5320813304495517	-0.9102813114386155	32.0
panTro4_MER34D_F1_253bp_97_349.frameSeq_chr2B:219114513_219114759	0.36751881281742477	0.22723491216991917	0.618294640287719	-0.6936335952955754	12.0
panTro4_MER11B_F2_255bp_602_856.frameSeq_chr2A:73057988_73058171	0.27190416232833864	0.3266583625148464	1.2013731592692178	0.26468433706278793	192.0
panTro4_MER52A_F1_259bp_60_318.frameSeq_chr2B:197071359_197071541	0.43057877862746885	0.20053069133322493	0.4657235825054942	-1.102454158182566	658.0
macFas5_MER52D_F2_230bp_553_782.frameSeq_chr13:90193614_90193791	0.3136014187087195	0.1745397715397369	0.5565656311709917	-0.8453762722222942	734.0
hg19_MER34A1_F1_260bp_97_356.frameSeq_chr2:238856065_238856299	0.15537380704476494	0.10503302606965155	0.6760021400479063	-0.5649002811733722	49.0
hg19_MER11C_F1_236bp_347_582.frameSeq_chr1:227910320_227910554	0.4579438523424651	0.12557718830442902	0.27421961810837536	-1.8665963073762715	37.0
hg19_MER52A_F1_259bp_60_318.frameSeq_chr19:6285874_6286138	0.565211859300599	0.2025018605051661	0.3582760290198877	-1.4808565737250214	48.0
hg19_MER52C_F2_238bp_356_593.frameSeq_chr19:55930864_55931098	0.47334011570938345	0.2179622977598389	0.46047712950165665	-1.1187985910656777	225.0
macFas5_MER52A_F1_259bp_60_318.frameSeq_chr1:178240154_178240404	0.24012315634190942	0.15034229037504754	0.626104923262696	-0.6755236492526289	43.0
panTro4_MER34C_F1_246bp_96_341.frameSeq_chr3:21884325_21884548	0.4494742275223557	0.24346597732491343	0.5416683814486428	-0.8845182153735336	13.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr8:58952441_58952689	0.30949459951658825	0.5253280227584153	1.6973737944989855	0.7633043091861986	30.0
hg19_MER11C_F2_250bp_583_832.frameSeq_chr12:79042595_79042847	0.4294975951880288	0.39459522843474854	0.9187367586121165	-0.12227654289159381	34.0
panTro4_MER52D_F2_230bp_553_782.frameSeq_chr16:19108493_19108725	0.3874123215129336	0.25434363853404995	0.6565192287658275	-0.6070908281121681	189.0
macFas5_MER34A_F1_253bp_97_349.frameSeq_chr3:29915014_29915211	0.2583397823482402	0.1490853392014285	0.5770901324073369	-0.79313143213106	62.0
macFas5_MER34A1_F1_260bp_97_356.frameSeq_chr4:66444884_66445137	0.5243865987760816	0.1704261841274394	0.3250010288691857	-1.6214838095397397	11.0
hg19_MER11C_F2_250bp_583_832.frameSeq_chr2:99030802_99031045	0.2424205784614104	2.36452071257936	9.75379535675745	3.2859637036749563	82.0
hg19_MER11B_F2_255bp_602_856.frameSeq_chr5:45152180_45152377	0.4930297340861815	0.23964749582662492	0.4860710810288261	-1.0407607918602013	178.0
hg19_MER34B_F1_257bp_82_338.frameSeq_chr6:20246407_20246659	0.27441019147422197	0.15393332759897752	0.5609606799659916	-0.8340284449198407	61.0
macFas5_MER34A_F1_253bp_97_349.frameSeq_chr16:39625231_39625462	0.21695488910519006	0.18535964380256284	0.8543695169399554	-0.22706792087698158	40.0
panTro4_MER34B_F1_257bp_82_338.frameSeq_chr2A:113128061_113128255	0.1995955828959673	0.14333279075333363	0.7181160458247274	-0.4777110959533964	129.0
hg19_MER11B_F1_236bp_366_601.frameSeq_chr8:108947250_108947468	0.34182237549848293	0.11109262372751606	0.32500102886918564	-1.6214838095397401	19.0
macFas5_MER52C_F1_241bp_42_282.frameSeq_chr20:34442700_34442912	0.3850612704852826	1.5026074674627843	3.9022555178532694	1.964308248031641	379.0
hg19_MER11A_F1_260bp_371_630.frameSeq_chr3:49178157_49178402	0.27708328922983083	0.10435973744099994	0.376636706353075	-1.4087544855540115	14.0
panTro4_MER34D_F1_253bp_97_349.frameSeq_chr1_AACZ03150839_random:1_177	0.4380736971105464	0.2163650616937317	0.4939010561940511	-1.0177060410033791	366.0
hg19_MER34_F1_224bp_97_320.frameSeq_chr9:125310513_125310731	0.552440202825831	0.16271141859080634	0.29453218241269946	-1.763502814412168	8.0
hg19_MER34_F1_224bp_97_320.frameSeq_chr8:24227475_24227661	0.3611759549724799	0.19600672248574902	0.5426903972626969	-0.8817987140199415	113.0
macFas5_MER34C__F1_246bp_132_377.frameSeq_chr8:36999600_36999803	0.15294609130969047	0.21461075038270147	1.4031790452764843	0.48869910821068324	15.0
macFas5_MER34A1_F1_260bp_97_356.frameSeq_chr15:83485536_83485789	0.3340536851462446	0.10604295901262896	0.3174428654071116	-1.6554311414630776	9.0
hg19_MER11A_F1_260bp_371_630.frameSeq_chr14:64278871_64279124	0.4350466597253418	0.18683759445082246	0.42946564529142395	-1.2193853659683942	9.0
hg19_MER34C__F1_246bp_132_377.frameSeq_chr21:27583398_27583622	0.5338484652307308	0.9561993312677226	1.791143729999206	0.8408811107672768	38.0
macFas5_MER11A_F2_260bp_769_1028.frameSeq_chr1:128096458_128096698	0.4012667293544487	2.278435771132315	5.678107863061124	2.505410255195684	111.0
macFas5_MER11A_F1_260bp_371_630.frameSeq_chr20:41239492_41239687	0.4286173987441792	0.19371558604523764	0.4519545557712113	-1.145750378573342	57.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chrX:16549627_16549880	0.4016981352864654	1.8862345148413617	4.6956516576713	2.2313253874960184	40.0
macFas5_MER11A_F2_260bp_769_1028.frameSeq_chr3:174384146_174384392	0.4076428179333806	2.294822904221492	5.6294942613131616	2.493005320268496	90.0
macFas5_MER52A_F1_259bp_60_318.frameSeq_chr17:46043932_46044112	0.5097389284192079	0.18562454650255347	0.36415611238130974	-1.4573710338166954	357.0
panTro4_MER11C_F2_250bp_583_832.frameSeq_chr8:79824524_79824773	0.3609598810003381	0.19459683535418554	0.5391093182292003	-0.8913502488559593	40.0
panTro4_MER11B_F2_255bp_602_856.frameSeq_chr16:58748822_58749075	0.4926985197077414	0.4208053929072578	0.8540829251057439	-0.2275519432725473	56.0
panTro4_MER34C__F1_246bp_132_377.frameSeq_chr7:89740438_89740700	0.28744154303281516	0.2474335710294676	0.8608135359237892	-0.21622733105348124	4.0
